Name,Quantity,Price(USD),Links,Notes(if any)
Cherry MX Switches(Brown),87,32,https://www.keychron.com/products/cherry-switch-set?variant=39298816835673,
Keycaps,1,25,https://www.keychron.com/products/cherry-profile-double-shot-pbt-full-set-keycaps-dolch-red-gray-white-mint-blue-black-yellow,
Stabilizer set,1,15,https://amzn.in/d/5Nto8PQ,
Rotary Encoder,1,1.5,https://www.amazon.in/KitsGuru-Rotary-Decoder-Encoder-Module/dp/B01HHRJXS8/ref=sr_1_1_pp?crid=XEH2ODWWCIRM&dib=eyJ2IjoiMSJ9.oWI8y3C8QJLVSMxR-pwehJiVwqs-o88R68mbDrLsERzzRT6F6MaRUBVuXcPhU-miYF1i5wfdOHsAiBDjFScHVFoEPvim8fm6EqVVfPO-enZvSiO2NPJPdE1xi5YgzxgnsW4eFa-wsGIo61BBtlR-3KvG_5PzSkQSMYwP85Co0Jliratdfbh_y4bwvpMXMvg8YDCqewKKMH28D13PHzTePWkXh6BxXjoxumHy4xL4f-XyKMqM0fWgkX8ANJ-r82pJd44K6JxyqUqPJ2UBBg1FLPiymjQKydwK4MW3j4pPx-g.jp3t3XoVeyzXbO5kwQBAx1mfTPJWQAcl5US01CAIoFY&dib_tag=se&keywords=rotary+encoder&qid=1775553633&sprefix=%2Caps%2C485&sr=8-1,
Case & PCB,,Printing Legion and Local PCB,,
